name,place_id,business_status,rating,user_ratings_total,vicinity
La Vie a la Campagne,ChIJ3ysSkkmLGGARha1VgACeWo0,OPERATIONAL,3.6,154,"2-chōme-24-12 Kamimeguro, Meguro City"
Blue Bottle Coffee Naka-Meguro Cafe,ChIJ3bHLRDaLGGAR_VfCWnvJ4j8,OPERATIONAL,4.2,814,"3-chōme-23-16 Nakameguro, Meguro City"
Kakaoetto Paris,ChIJn0HMm02LGGARmeVrUa7_NCQ,OPERATIONAL,4.3,150,"1-chōme-9-6 Higashiyama, Meguro City"
Cafe Colorado,ChIJxdFIAkmLGGARRkNM8s_m7L4,OPERATIONAL,3.4,90,"中目黒ＧＴプラザ, 2-chōme-1−３ Kamimeguro, Meguro City"
torse,ChIJLYIkWjm3JhURFwt3wtgWErQ,OPERATIONAL,3.7,293,"第２Ｔ＆Ｆビル ２Ｆ, 5-chōme Shimouma, Setagaya City"
THE CITY BAKERY Nakameguro,ChIJU6d3JEqLGGAROj60TDOwL8Q,OPERATIONAL,3.9,535,"3-chōme-4-15 Kamimeguro, Meguro City"
Taste AND Sense,ChIJgSQlNU-LGGARtx1LIOOhq1E,OPERATIONAL,4,107,"１F B-TOWN, 1-chōme-7−１３ Kamimeguro, Meguro City"
Sanchome no Coffee,ChIJleVbXDaLGGARIzLQKTKxQkw,OPERATIONAL,4.2,45,"3-chōme-24-16 Nakameguro, Meguro City"
Starbucks Coffee - Naka-Meguro Tsutaya Books,ChIJTUCt3EiLGGAROnoKHNtSdfc,OPERATIONAL,4,299,"1-chōme-22-10 Kamimeguro, Meguro City"
FRAMES Nakameguro,ChIJQTUAK0-LGGARHCnve2yjtPw,OPERATIONAL,3.6,450,"ＮＭビル 1F, 1-chōme-18−６ Kamimeguro, Meguro City"
Starbucks Coffee - Nakameguro Yamate-dori Avenue,ChIJQ7wAyE6LGGARUHG3s2QFEjQ,OPERATIONAL,4,414,"Prime Urban Naka Meguro II, 3-chōme-1-3 Kamimeguro, Meguro City"
cafe carat,ChIJQTUAK0-LGGARhUiXG6DBG0Q,OPERATIONAL,3.8,126,"B１F, 1-chōme-18−６ Kamimeguro, Meguro City"
Hummingbird coffee,ChIJRSlxTsz0GGARvGVbPtNiTrM,OPERATIONAL,4.2,130,"鎌倉荘 102, 2-chōme-15−２２ Takaban, Meguro City"
coffee caraway,ChIJR9SIYLH0GGARinG_bYDxBrg,OPERATIONAL,3.8,38,"2-chōme-13-1 Gohongi, Meguro City"
喜長,ChIJlfIFy8r0GGARw8Q4vQpHNUU,OPERATIONAL,,,"たちばなビル, 2-chōme-16−１０ Yūtenji, Meguro City"
Yutenji Cafe,ChIJOXP1ysr0GGARIWrlAe2rBwc,OPERATIONAL,3.8,85,"2-chōme-16-1 Yūtenji, Meguro City"
KISSA BOSSA UMINEKO,ChIJYWBQVDWLGGARx1sJHbLpyBc,OPERATIONAL,4.2,34,"クーカイテラス祐天寺 1F, 2-chōme-14−１０ Yūtenji, Meguro City"
Chou de Ruban,ChIJS-U1NEqLGGAR2qFTBeCKh3w,OPERATIONAL,4,45,"2-chōme-43-6 Kamimeguro, Meguro City"
nakameguro SLOW TABLE,ChIJ1wyjLzaLGGARK_irG5UqGt0,OPERATIONAL,3.9,112,"ハイツ伊勢脇 1F, 2-chōme-20−５ Kamimeguro, Meguro City"
Gancha-bou,ChIJCQQaIkyLGGAR2XrFQ43XuwU,OPERATIONAL,4.4,50,"１F, 3-chōme-15−５ Kamimeguro, Meguro City"
TRASPARENTE Nakameguro,ChIJZ-HWq0mLGGARKvoLziE0deQ,OPERATIONAL,4.3,360,"FDビルディング 1F, 2-chōme-12−１１ Kamimeguro, Meguro City"
ONIBUS COFFEE,ChIJvXUZEEmLGGARlC39ZdeJ06Q,OPERATIONAL,4.3,1437,"2-chōme-14-1 Kamimeguro, Meguro City"
A WORKS,ChIJj8RVec70GGARctv9gJkVUr8,OPERATIONAL,4,168,"2階, 2-chōme-23−２０ Chūōchō, Meguro City"
AOBAYA,ChIJ8-jQJ0-LGGARI8sknhB86YQ,OPERATIONAL,3.9,186,"リバーサイド中目黒 102号, 1-chōme-13−１１ Kamimeguro, Meguro City"
Cafe Brownstone ボードゲーム&カフェ,ChIJ7xhClk2LGGARtcLhMcinjL0,OPERATIONAL,4.8,28,"2F, 1-chōme-4−１３ Higashiyama, Meguro City"
Aroma Cafe,ChIJgxmLkE2LGGARBXd_GCfJSmk,OPERATIONAL,4,44,"クレール東山 2F, 1-chōme-3−６ Higashiyama, Meguro City"
エフジェイズ,ChIJnTqkYDaLGGARJdqglktPbus,CLOSED_TEMPORARILY,5,1,"5-chōme-1-20 Nakameguro, Meguro City"
Ueshima Coffee House - Naka-Meguro,ChIJ7SkXuU6LGGARSx73tqrOST8,OPERATIONAL,3.6,363,"3-chōme-1-1 Kamimeguro, Meguro City"
Loncafe,ChIJ8c4_xEiLGGARr0Lrj56RZWI,OPERATIONAL,3.9,140,"1-chōme-22-12 Kamimeguro, Meguro City"
Kōya,ChIJc4Gg7E2LGGARJ5F4fYWlCdg,OPERATIONAL,3.7,253,"ペガサスマンション青葉台 1F, 1-chōme-28−１ Aobadai, Meguro City"
Kunima Coffee,ChIJ93Rc3i-LGGARtmZMYxpYsSc,OPERATIONAL,4.2,48,"1-chōme-5-12 Nakachō, Meguro City"
Segafredo,ChIJAeHa4EiLGGARN_T8PEuW6yI,OPERATIONAL,3.6,295,"小金井ビル 1・2F, 3-chōme-4−３ Kamimeguro, Meguro City"
McDonald's,ChIJBRkIUTWLGGARcuQCK34e-JU,OPERATIONAL,3.3,367,"2-chōme-12-19 Yūtenji, Meguro City"
Starbucks Coffee - Nakameguro Gate Town Tower,ChIJb3AHHUmLGGARwuZeY50bAak,OPERATIONAL,3.8,327,"中目黒ゲートタウンタワー B1F, 2-chōme-1−１ Kamimeguro, Meguro City"
Doutor,ChIJ57mzKEmLGGARTHmVsx5MJBY,OPERATIONAL,3.4,393,"3-chōme-3-2 Kamimeguro, Meguro City"
RAINBOW BIRD RENDEZVOUS,ChIJ9f8eTkqLGGARV5LV0lnGG1Q,OPERATIONAL,4.2,66,"リベルタ祐天寺 １階, 1-chōme-1−１ Yūtenji, Meguro City"
Grano,ChIJYYl8u0mLGGARJ3vg7BKorzE,OPERATIONAL,4.5,57,"2-chōme-17-16 Kamimeguro, Meguro City"
Café Façon Naka Meguro,ChIJg40YNEmLGGARX6vJQQ_BEaQ,OPERATIONAL,4.3,341,"3階, 3-chōme-8−３ Kamimeguro, Meguro City"
Puchi,ChIJucMisTSLGGARFf4QUE4WzpI,OPERATIONAL,4.6,9,"2-chōme-47-5 Nakachō, Meguro City"
FRESHNESS BURGER Nakameguro Station Front Shop,ChIJw3CUMkmLGGAR_Ppsc3pjLEA,OPERATIONAL,3.5,260,"ﾌｼﾞﾋﾞﾙ 1階, 3-chōme-2−２ Kamimeguro, Meguro City"
7-Eleven - Naka-Meguro,ChIJt96f2TuLGGARpvKr_pvaMO4,OPERATIONAL,3.2,37,"2-chōme-7-14 Nakameguro, Meguro City"
FamilyMart,ChIJjS4vUTWLGGAR52ns2noxw0M,OPERATIONAL,3.5,24,"2-chōme-12-21 Yūtenji, Meguro City"
7-Eleven,ChIJL-GTVDWLGGAR7cbfqGUfpTE,OPERATIONAL,2.5,13,"2-chōme-14-3 Yūtenji, Meguro City"
生活彩家 目黒区役所店,ChIJt8ALyEmLGGARGDdSl3MIKdw,OPERATIONAL,5,1,"総合庁舎内, 2-chōme-19−１５ Kamimeguro, Meguro City"
Lawson Store 100 Setagaya Shimouma,ChIJOZ1kaLH0GGARHceUYu0gX8s,OPERATIONAL,3.5,15,"1-chōme-56-11 Shimouma, Setagaya City"
7-Eleven,ChIJ__-TPrH0GGARZYNLid9m2WY,OPERATIONAL,3.4,18,"1-chōme-12-2 Shimouma, 世田谷区 Setagaya City"
FamilyMart,ChIJWX4U3LD0GGARtjA_i8s9mu4,OPERATIONAL,2.9,26,"1-chōme-19-14 Shimouma, Setagaya City"
7-Eleven,ChIJDWchu0iLGGARxqCkwFMSoyY,OPERATIONAL,3.2,10,"1-chōme-3-20 Kamimeguro, Meguro City"
7-ELEVEN Kamimeguro 2-chome Store,ChIJT3U8AkmLGGARDpn99Z0zvRw,OPERATIONAL,2.9,23,"2-chōme-1-3 Kamimeguro, Meguro City"
7-Eleven,ChIJIf09OjCLGGARySQ_cvs4f0c,OPERATIONAL,3.1,17,"4-chōme-23-19 Meguro, Meguro City"
7-Eleven Nakameguro Atlas Tower,ChIJkeNDjEiLGGARPfgE8wK1Gg4,OPERATIONAL,3.7,16,"1-chōme-26-1 Kamimeguro, Meguro City"
7-Eleven,ChIJlYNdly-LGGARUBouky-PTuA,OPERATIONAL,3.1,12,"田添ビル, 1-chōme-7−６ Nakachō, Meguro City"
7-Eleven Kamimeguro 3-chome,ChIJlTGvOEmLGGARpyhDjxIFCRk,OPERATIONAL,3.5,12,"3-chōme-10-3 Kamimeguro, Meguro City"
Natural Lawson Yutenji 1-chome,ChIJGfEsTkqLGGARie0-IMhSb3Y,OPERATIONAL,3.6,19,"1-chōme-1-2 Yūtenji, Meguro City"
7-Eleven,ChIJV4Rv102LGGARZ1Ru04ea1UI,OPERATIONAL,3.4,20,"1-chōme-29-6 Aobadai, Meguro City"
Natural Lawson Meguro Yūtenji-mae,ChIJL-PJRzSLGGARYbjsECAUgpE,OPERATIONAL,2.9,16,"5-chōme-27-18 Nakameguro, Meguro City"
Nakameguro Atlas Tower,ChIJMdCbiUiLGGARTyHx0vnry_c,OPERATIONAL,3.6,52,"1-chōme-26-1 Kamimeguro, Meguro City"
Lawson,ChIJua1GuE2LGGARDAS5eOzhKRY,OPERATIONAL,3.9,21,"1-chōme-8-6 Higashiyama, Meguro City"
7-Eleven Meguro Yutenji Station Front Shop,ChIJN71op0qLGGARMz5KOVhxo50,OPERATIONAL,3,22,"2-chōme-2-11 Yūtenji, Meguro City"
FamilyMart,ChIJDXb9U7X0GGARa_9OVwJeLX4,OPERATIONAL,2.5,15,"1-chōme-31-6 Gohongi, Meguro City"
Lawson,ChIJpYLpV7X0GGARVji5v0V3R-s,OPERATIONAL,2.5,11,"1-chōme-31-9 Gohongi, Meguro City"
7-Eleven,ChIJee3h8fH1GGAR5oHWeEJyA20,OPERATIONAL,2.9,14,"1-chōme-30-6 Gohongi, Meguro City"
FamilyMart Naka-Meguro 1-chōme shop,ChIJn8A-FDiLGGARJ_JhYcGAq6M,OPERATIONAL,2,21,"1-chōme-11-12 Nakameguro, Meguro City"
FamilyMart,ChIJBVg8mEmLGGARtofkLx-o2T8,OPERATIONAL,3.5,15,"2-chōme-18-2 Kamimeguro, Meguro City"
FamilyMart,ChIJX-AUFDOLGGARgRqrTzD8XaQ,OPERATIONAL,3.5,20,"2-chōme-32-5 Nakachō, Meguro City"
7-Eleven Gohongi Shop,ChIJ-XFoPMr0GGARqnfdIthlAn8,OPERATIONAL,3.2,12,"2-chōme-26-12 Gohongi, Meguro City"
FamilyMart Nakameguro Station West Gate,ChIJV589izeLGGARt4a0T2C-qv0,OPERATIONAL,3.1,9,"桧山ビル 1F, 3-chōme-6−３ Kamimeguro, Meguro City"
FamilyMart Nakameguro Station,ChIJe-suWEiLGGARqpuJ1fmywTA,OPERATIONAL,3.3,19,"2-chōme-9-35 Kamimeguro, Meguro City"
Lawson Meguro Chuocho 2-chome,ChIJJVI09zKLGGARLBxmhP9YrbQ,OPERATIONAL,3.1,15,"2-chōme-7-3 Chūōchō, Meguro City"
7-Eleven,ChIJWbYX6bL0GGARo2Mc3-2DwG4,OPERATIONAL,2.4,20,"5-chōme-3-8 Kamimeguro, Meguro City"
目黒区東山,ChIJE8qkVcn1GGARz57faui8pHE,OPERATIONAL,,,"目黒区役所, 2-chōme-19−１５ Kamimeguro, Meguro City"
Lawson Store 100 Gohongi,ChIJKQaU68v0GGARfLVaMDqV880,OPERATIONAL,3.9,28,"2-chōme-36-14 Chūōchō, Meguro City"
FamilyMart,ChIJIefZk06LGGARlSPmCh_2jQA,OPERATIONAL,3.1,18,"1-chōme-22-10 Aobadai, Meguro City"
7-Eleven,ChIJB_Fp07D0GGARQYuCgQ2OTYM,OPERATIONAL,2.8,17,"1-chōme-5-4 Shimouma, Setagaya City"
Ministop,ChIJ7Y1F7a30GGAReftWL9SKVsk,OPERATIONAL,3.4,28,"2-chōme-20-11 Higashiyama, Meguro City"
Lawson Meguro Nakacho 1-chome,ChIJ52iwcy6LGGARj2MRh_JWwwY,OPERATIONAL,4.2,31,"1-chōme-26-11 Nakachō, Meguro City"
FamilyMart,ChIJp1QSrU6LGGARDKQYf_19jzE,OPERATIONAL,3.1,37,"第４４興和ビル, 1-chōme-2−７ Higashiyama, Meguro City"
FamilyMart,ChIJ4UxUPUaLGGARrGaasgMql3k,OPERATIONAL,3.9,16,"1-chōme-2-11 Nakameguro, Meguro City"
FamilyMart,ChIJwYmPWy6LGGARMwLl21POwOQ,OPERATIONAL,2.2,30,"津国屋ビル, 6-chōme-16−１２ Shimomeguro, Meguro City"
Lawson,ChIJFfRwaLf0GGAR2hP_MyF-1YQ,OPERATIONAL,4.2,10,"アパートメントハウスＴ２, 4-chōme-24−１１ Shimouma, Setagaya City"
